"R1","R2","R3","R4","R5","R6","R7","R8","I1","I2","I3","I4","I5","I6","I7","I8","education","gender","age","race","country"
1,1,1,1,2,2,3,2,4,3,3,1,1,3,2,3,1,1,13,5,"US"
2,1,2,4,3,2,3,2,3,5,4,3,2,4,3,3,1,1,13,5,"US"
5,4,1,1,1,5,1,1,1,5,1,1,1,1,1,1,4,2,64,4,"US"
4,1,1,3,1,1,2,1,3,2,1,2,1,1,1,1,2,1,31,4,"US"
2,4,2,3,1,1,3,4,3,3,2,2,2,1,1,3,1,1,13,4,"US"
1,1,3,3,3,5,1,1,3,1,1,3,3,5,1,3,1,2,13,5,"US"
3,4,3,3,3,4,3,4,4,5,5,3,3,5,4,4,4,2,60,4,"US"
4,1,1,3,1,2,2,1,2,1,1,2,1,2,1,2,1,1,18,4,"US"
1,1,1,1,1,1,1,1,3,3,3,5,3,5,3,1,2,2,16,4,"US"
4,1,1,3,1,1,3,3,3,3,2,3,3,2,1,1,4,2,48,1,"US"
1,3,1,1,1,1,1,1,1,1,1,4,2,1,1,3,1,2,18,4,"US"
5,4,4,4,4,5,4,4,4,4,4,2,2,3,1,2,1,1,17,5,"US"
3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,4,1,1,17,4,"US"
1,2,1,2,1,3,2,3,2,3,3,2,4,2,3,1,2,2,24,4,"US"
5,3,4,4,3,1,3,3,2,2,1,3,1,1,2,1,2,1,24,5,"US"
2,3,1,2,1,2,1,3,1,2,1,2,1,1,2,4,2,2,21,5,"US"
1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,2,2,34,4,"US"
4,4,3,5,4,4,4,4,2,3,3,1,2,2,2,2,2,2,20,4,"US"
5,2,2,3,2,3,1,3,3,3,2,2,3,2,3,3,2,2,28,1,"US"
1,3,1,2,2,2,2,3,2,2,3,1,2,3,2,1,2,2,17,5,"US"
2,1,1,1,1,1,1,1,5,4,3,4,4,3,4,1,1,2,19,1,"US"
4,3,3,4,2,3,4,3,5,5,5,5,5,5,5,5,2,1,18,5,"US"
1,1,1,3,1,2,1,3,5,5,5,4,5,5,5,4,3,2,23,4,"US"
3,4,1,3,2,5,1,4,4,3,5,5,4,4,3,4,4,1,31,4,"US"
3,2,2,5,1,2,3,1,4,3,3,2,2,2,2,4,2,1,22,4,"US"
2,3,1,1,1,3,1,3,4,4,3,3,4,5,3,3,4,2,48,4,"US"
4,1,1,3,2,3,3,2,3,2,3,3,2,3,2,2,4,2,46,4,"US"
5,2,4,5,3,2,1,2,5,3,1,2,2,1,3,1,3,1,51,4,"US"
3,2,1,1,1,5,3,1,5,5,5,5,5,3,5,1,3,2,24,4,"US"
3,3,1,2,1,2,1,4,5,5,4,5,5,4,5,3,4,2,46,1,"US"
3,3,3,3,4,3,4,3,4,1,1,2,3,4,2,1,2,2,26,5,"US"
1,3,1,1,1,3,1,3,5,5,4,4,2,3,2,1,3,2,29,4,"US"
1,1,1,1,1,1,1,1,2,3,3,4,1,3,1,1,2,2,53,4,"US"
3,1,2,2,1,1,1,3,2,5,3,1,2,3,1,2,2,2,16,4,"US"
2,1,1,3,1,4,1,3,4,5,5,5,4,5,4,5,2,2,37,3,"US"
3,3,3,5,3,3,5,3,5,3,3,5,3,3,3,2,2,1,20,5,"US"
4,4,2,2,1,2,1,3,3,3,3,2,2,4,3,5,2,2,20,1,"US"
3,1,1,2,1,3,3,3,4,3,4,2,1,2,2,2,2,1,34,3,"US"
4,4,2,3,3,3,3,3,2,3,2,2,2,3,3,4,3,1,36,4,"US"
1,2,1,3,1,4,1,3,5,3,1,3,3,1,3,1,2,2,22,4,"US"
1,1,1,1,1,1,1,1,4,4,5,2,2,3,1,1,2,2,20,4,"US"
3,3,5,3,4,3,1,2,5,4,3,5,3,3,3,3,2,1,19,4,"US"
1,1,2,1,1,1,1,1,5,5,5,5,4,5,5,4,3,1,24,4,"US"
1,2,1,1,1,3,1,4,4,5,4,3,1,4,1,5,4,2,28,4,"US"
2,1,1,1,1,1,1,1,3,4,3,1,2,3,1,4,4,2,37,4,"US"
3,2,1,1,1,1,1,1,5,4,3,1,4,3,3,3,4,2,28,4,"US"
1,4,1,1,1,3,1,4,2,2,1,1,2,2,2,3,2,2,28,4,"US"
1,1,2,1,1,4,1,1,4,5,4,5,5,5,4,3,2,1,25,4,"US"
2,3,3,1,2,2,2,2,2,4,2,1,2,1,3,3,2,1,21,2,"US"
3,1,1,2,1,1,1,1,2,2,2,3,2,1,2,1,2,2,16,4,"US"
3,2,1,1,3,2,3,3,3,2,1,1,1,1,2,1,1,1,17,4,"US"
4,2,1,2,1,1,3,1,2,1,1,2,1,1,1,1,3,2,68,1,"US"
1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,35,3,"US"
3,4,5,4,5,1,5,4,5,5,5,5,5,5,5,5,1,1,13,4,"US"
3,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3,2,68,1,"US"
5,1,1,2,1,1,2,1,5,3,4,5,5,4,5,1,1,2,16,3,"US"
3,1,4,4,2,3,3,2,4,4,4,4,4,3,5,4,1,1,15,4,"US"
1,2,2,2,2,2,1,3,2,2,4,2,1,2,1,1,1,1,14,4,"US"
2,2,3,2,1,4,2,2,2,2,2,2,1,2,2,4,3,1,28,4,"US"
1,1,1,1,1,1,1,1,5,5,4,5,3,3,4,2,2,2,18,4,"US"
4,3,1,2,1,1,2,2,3,3,3,2,3,3,3,4,2,2,18,1,"US"
2,1,3,5,1,4,3,3,5,5,4,5,3,5,4,5,2,2,18,4,"US"
3,5,4,4,3,4,3,4,3,4,5,4,4,4,4,4,3,2,49,4,"US"
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,24,4,"US"
3,1,2,2,3,1,2,1,2,2,1,2,1,1,1,1,2,2,19,4,"US"
1,4,3,1,1,5,1,1,5,5,5,5,4,5,5,1,4,1,55,4,"US"
3,1,1,3,1,1,1,1,4,5,5,3,4,4,5,1,2,1,20,3,"US"
2,2,2,4,2,3,3,2,2,3,2,3,2,3,3,4,2,1,19,4,"US"
1,1,1,1,1,1,1,1,3,5,5,3,3,5,4,4,1,2,16,4,"US"
3,2,1,3,1,2,2,1,4,3,3,3,2,4,3,5,1,1,16,4,"US"
1,1,1,1,1,1,1,1,3,5,5,3,4,5,3,1,1,2,16,4,"US"
2,2,2,2,2,2,2,1,2,3,4,2,3,3,3,3,1,2,15,4,"US"
2,1,4,2,1,1,1,2,4,5,4,3,4,5,3,4,3,1,21,4,"US"
2,3,1,1,1,3,1,3,5,2,4,5,5,5,5,5,1,2,17,4,"US"
2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,2,1,22,4,"US"
1,1,1,1,1,1,1,1,3,3,3,1,3,5,3,1,1,2,16,4,"US"
2,1,1,3,1,1,1,1,4,5,4,2,3,5,3,3,2,2,23,4,"US"
1,1,1,1,1,1,1,1,3,4,3,5,5,4,4,3,2,2,18,3,"US"
1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,4,2,25,4,"US"
5,1,3,1,1,1,3,1,5,3,3,5,5,3,3,1,2,2,27,3,"US"
1,1,1,2,1,1,1,1,3,4,1,3,1,1,1,1,1,2,16,4,"US"
2,3,1,1,1,1,1,1,5,5,5,5,5,5,5,4,4,2,41,4,"US"
3,4,3,5,2,2,3,3,5,5,5,5,5,5,5,4,3,2,21,3,"US"
3,3,1,1,2,3,3,2,4,4,3,1,2,3,3,2,3,2,37,4,"US"
3,4,3,4,3,4,4,4,4,5,5,2,3,4,3,5,2,1,24,4,"US"
3,3,3,2,2,4,3,3,2,3,2,2,2,2,2,3,3,1,22,4,"US"
2,1,1,1,1,1,1,1,4,3,3,5,3,2,2,1,3,2,20,4,"US"
5,5,5,5,5,5,5,5,4,3,3,5,4,4,5,5,2,1,23,4,"US"
3,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,2,1,22,5,"US"
1,1,1,1,1,1,1,1,4,4,4,5,5,1,5,1,2,2,18,4,"US"
4,2,1,2,2,1,3,3,2,2,2,2,2,1,2,3,2,1,25,3,"US"
1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,24,3,"US"
3,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,1,2,16,4,"US"
2,3,1,2,1,1,2,3,4,4,4,4,4,4,3,4,2,1,18,5,"US"
3,1,1,3,1,1,3,1,5,3,2,4,1,3,1,2,3,2,22,3,"US"
1,3,2,1,1,5,1,4,2,2,3,4,3,3,3,4,3,1,43,4,"US"
5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,2,2,44,3,"US"
2,3,2,3,2,3,2,3,3,4,4,4,4,4,4,4,1,2,15,4,"US"
2,1,1,2,2,2,2,2,3,5,4,4,4,2,2,2,2,2,19,4,"US"
2,3,3,3,4,2,2,3,3,3,3,3,4,3,2,3,2,1,21,4,"US"
3,4,1,4,4,4,4,4,1,3,1,1,1,3,1,3,2,1,22,4,"US"
5,1,3,5,5,1,5,5,5,5,5,5,5,5,5,3,2,2,19,3,"US"
2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,16,4,"US"
1,1,2,1,1,1,1,1,4,3,3,4,3,3,3,2,1,2,16,4,"US"
3,4,2,2,1,3,3,4,2,5,5,1,5,2,4,3,1,2,19,4,"US"
4,1,1,1,1,1,1,1,5,4,3,5,5,1,5,1,2,2,22,3,"US"
2,3,2,2,3,2,2,2,2,4,1,2,2,1,2,2,2,2,20,5,"US"
3,4,3,2,2,4,3,4,5,5,3,3,3,4,4,4,3,1,35,4,"US"
4,4,2,5,4,4,4,4,4,2,2,2,2,2,2,2,1,1,16,4,"US"
2,2,3,2,2,3,1,2,4,2,2,4,2,1,2,1,1,2,15,3,"US"
3,1,1,2,1,1,3,1,5,4,3,5,4,3,4,1,2,2,20,3,"US"
2,1,1,2,1,3,2,3,5,5,4,4,5,5,5,4,3,2,28,4,"US"
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,37,3,"US"
1,2,2,2,1,2,2,2,3,3,4,4,4,3,2,1,3,2,20,4,"US"
2,4,3,4,2,4,3,4,3,4,4,4,4,4,4,3,2,1,16,4,"US"
1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,18,4,"US"
5,2,2,5,3,3,4,2,3,2,2,5,2,3,5,2,3,1,25,1,"US"
3,4,1,5,4,4,3,3,3,3,2,3,3,3,3,3,3,1,32,1,"US"
3,1,1,3,1,3,1,1,2,3,3,3,1,1,1,1,2,1,18,4,"US"
5,3,1,3,2,3,1,3,4,5,5,5,3,4,3,3,2,2,20,5,"US"
4,2,1,4,1,1,1,1,5,4,4,4,5,3,4,4,2,2,17,5,"US"
4,4,2,5,3,4,4,4,4,4,3,4,3,4,3,3,2,1,18,4,"US"
1,1,1,1,1,1,1,1,5,4,4,5,5,4,4,4,2,2,18,5,"US"
3,1,1,2,1,1,1,1,4,3,3,3,2,2,2,1,3,1,30,4,"US"
3,2,1,2,1,3,1,2,1,4,3,1,1,2,1,1,4,2,47,4,"US"
1,1,1,3,1,1,1,1,3,5,3,3,1,3,1,1,1,2,14,4,"US"
1,1,1,1,1,1,1,1,3,5,1,2,1,1,1,1,1,2,13,3,"US"
3,4,2,2,2,2,2,1,1,5,5,3,3,5,5,5,1,2,14,5,"US"
1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,13,5,"US"
1,1,1,1,1,1,1,1,5,1,1,5,1,2,1,1,1,2,13,4,"US"
2,1,1,1,1,1,1,1,2,4,4,2,2,2,1,1,1,2,13,4,"US"
1,2,1,2,2,2,4,3,5,2,2,5,3,2,5,1,1,2,14,5,"US"
1,1,1,1,1,1,1,1,1,4,3,1,1,3,1,3,1,2,14,4,"US"
1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,3,13,4,"US"
1,1,1,1,1,1,1,1,5,3,3,1,5,4,5,1,1,2,13,3,"US"
1,2,1,1,3,3,2,1,2,1,1,1,1,1,1,1,1,1,13,4,"US"
3,4,1,4,4,4,5,4,1,2,1,1,1,1,1,1,1,1,14,4,"US"
2,3,3,5,1,2,3,4,3,3,3,3,3,4,4,4,1,1,13,1,"US"
2,2,1,2,2,2,1,2,3,3,2,3,2,3,2,1,1,2,13,4,"US"
1,1,1,2,1,1,1,1,4,4,3,4,4,3,4,4,1,1,13,5,"US"
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,13,4,"US"
3,2,2,5,3,5,4,3,1,2,2,1,1,1,1,1,1,1,13,3,"US"
2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,2,13,4,"US"
3,1,1,1,1,3,1,1,2,4,1,2,1,3,1,1,1,2,13,4,"US"
5,5,5,5,5,5,5,5,1,1,1,1,1,4,1,1,1,1,13,4,"US"
3,2,1,1,1,1,1,1,4,1,4,1,1,1,3,1,1,1,13,4,"US"
2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,13,3,"US"
1,3,3,1,1,4,1,3,5,3,3,1,1,5,1,3,4,2,38,4,"US"
1,1,1,5,1,1,1,1,3,3,3,4,2,1,2,1,1,2,14,1,"US"
3,3,3,3,2,4,1,3,4,4,3,3,3,5,3,4,1,1,13,4,"US"
3,2,4,3,3,3,3,3,3,4,4,3,3,4,3,3,1,1,13,4,"US"
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,14,3,"US"
1,1,1,1,2,1,1,1,5,1,2,5,4,1,4,1,1,2,14,3,"US"
5,4,1,5,5,5,5,3,1,1,2,1,2,2,3,1,1,1,13,4,"US"
2,3,1,2,2,1,1,1,5,5,5,4,5,5,4,4,2,1,30,4,"US"
3,5,3,3,4,2,3,3,4,5,5,3,3,5,4,4,4,2,18,1,"US"
1,1,1,2,1,2,1,2,4,4,3,2,2,3,2,3,3,2,25,4,"US"
1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,14,5,"US"
1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,18,4,"US"
2,4,5,5,5,3,5,5,4,2,3,1,2,3,4,3,2,2,51,4,"US"
3,3,1,5,1,2,1,1,4,5,4,3,4,1,3,1,1,2,15,4,"US"
2,2,1,3,1,2,2,1,3,5,3,3,1,2,1,1,1,2,13,4,"US"
3,1,1,4,2,1,2,1,3,3,2,3,2,2,4,1,1,1,13,5,"US"
2,1,1,2,1,1,1,1,4,5,4,2,3,5,3,4,1,2,13,4,"US"
4,1,3,4,2,3,3,3,3,2,2,3,2,2,2,3,1,1,17,4,"US"
2,1,2,3,1,3,1,1,4,3,3,4,3,3,4,3,1,1,18,4,"US"
3,1,2,5,2,3,3,2,3,3,3,4,3,3,4,4,1,1,15,4,"US"
4,3,4,5,3,5,3,3,3,1,2,2,2,2,2,3,3,1,37,4,"US"
2,4,5,5,2,2,4,2,5,1,1,5,4,1,4,1,2,1,28,5,"HS"
1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,1,28,4,"US"
3,5,3,5,3,5,5,5,4,5,5,5,3,5,3,5,2,2,29,4,"US"
3,1,2,3,1,1,2,1,3,3,1,4,1,2,3,1,1,2,14,4,"US"
2,2,1,3,4,2,1,2,2,4,4,2,1,4,2,3,1,1,17,4,"US"
3,1,1,4,1,1,1,1,5,4,4,3,4,5,4,4,3,2,31,4,"US"
1,1,1,1,1,2,1,2,5,5,5,4,5,3,5,1,4,2,58,3,"US"
1,3,1,2,1,2,1,1,3,2,2,2,1,2,1,1,3,2,55,4,"US"
2,4,3,4,3,2,2,4,1,5,5,2,3,2,1,1,1,1,17,4,"US"
1,1,1,3,1,2,1,1,5,5,5,5,4,5,3,3,2,2,19,4,"US"
3,4,4,2,2,4,2,3,5,2,2,4,3,3,3,4,2,1,39,4,"US"
1,3,3,1,1,1,1,2,5,5,4,5,5,5,5,5,3,2,60,4,"US"
3,1,1,2,2,1,3,1,3,4,4,4,4,5,4,4,2,2,45,1,"US"
5,3,1,2,2,3,2,1,4,3,3,3,3,2,3,1,4,1,57,4,"US"
3,2,3,2,2,2,3,2,4,2,3,2,2,2,4,4,2,2,16,5,"US"
3,1,1,1,1,1,2,1,4,5,5,5,5,5,5,5,3,2,35,4,"US"
5,1,1,2,1,1,1,1,5,2,2,3,2,2,2,1,1,2,18,4,"US"
4,2,1,2,1,2,2,3,4,3,2,4,4,2,3,1,2,2,35,3,"US"
2,2,1,3,3,1,1,1,4,1,3,5,4,2,2,3,2,2,15,4,"US"
2,2,1,3,1,2,2,2,1,2,2,2,2,2,2,1,4,1,36,4,"US"
1,4,1,1,1,1,1,1,5,5,3,5,5,3,5,3,2,2,14,3,"US"
5,5,3,5,3,3,1,4,3,5,5,5,5,5,5,5,3,2,30,4,"US"
1,1,1,5,1,1,5,1,1,3,1,1,1,1,1,1,2,2,37,4,"US"
3,1,1,1,1,3,1,1,4,5,4,3,3,4,4,2,3,2,21,5,"US"
3,3,1,3,1,1,1,1,2,3,3,2,3,4,4,4,1,1,13,5,"US"
5,5,5,5,5,3,5,3,5,1,1,3,1,3,1,4,2,1,21,1,"US"
1,1,1,1,2,1,4,1,2,2,4,3,3,2,5,1,3,2,23,4,"US"
1,4,1,3,3,1,3,3,2,1,1,3,2,1,4,3,1,2,17,1,"US"
1,5,1,4,1,1,3,3,3,1,1,2,5,1,5,1,2,2,17,1,"US"
1,1,4,3,1,1,1,1,5,5,5,5,5,5,5,5,2,1,18,3,"US"
2,3,1,1,2,3,2,4,3,3,3,3,3,4,2,2,2,2,15,1,"US"
4,3,3,2,1,3,3,2,1,1,1,1,1,2,1,2,2,1,37,5,"US"
3,1,1,2,1,1,1,1,4,4,5,4,5,5,5,5,4,1,46,5,"US"
1,1,1,1,1,2,2,1,4,5,5,2,4,4,1,1,3,1,26,5,"US"
2,1,2,4,1,1,1,1,3,3,3,2,2,2,3,2,1,1,14,4,"US"
1,1,1,1,1,1,1,1,5,3,3,5,5,3,5,1,2,2,19,4,"US"
2,1,1,2,1,2,1,1,5,4,1,2,1,1,1,1,1,2,16,4,"US"
1,1,1,2,1,1,1,1,5,4,3,4,2,2,2,2,3,1,22,4,"US"
3,4,1,3,1,4,3,5,3,4,3,1,1,5,3,5,3,2,50,3,"US"
1,4,1,2,1,3,3,1,4,1,3,2,2,1,2,1,3,2,46,4,"US"
2,4,1,5,2,4,3,3,5,5,4,5,4,5,5,4,1,1,17,4,"US"
2,2,3,3,1,3,2,2,3,4,3,3,1,4,2,2,4,1,45,4,"US"
2,3,3,2,2,4,2,4,5,4,3,3,3,4,4,1,2,2,23,4,"US"
4,2,2,4,4,4,3,3,4,4,5,4,4,4,4,3,3,1,32,5,"US"
1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,2,2,17,5,"US"
5,1,3,1,1,1,1,1,5,5,5,5,5,5,5,5,3,2,21,4,"US"
1,2,1,1,1,1,1,1,3,5,3,2,2,4,2,1,3,2,21,4,"US"
5,4,3,3,3,3,3,3,5,4,4,4,5,4,4,5,3,1,42,4,"US"
1,1,1,3,1,2,2,1,3,3,3,2,3,2,3,3,3,2,26,4,"US"
2,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,2,46,4,"US"
1,1,1,3,1,2,2,1,1,1,2,2,1,3,1,1,2,2,18,4,"US"
3,4,4,1,1,4,1,4,5,4,4,4,4,4,4,3,2,2,19,4,"US"
4,2,2,3,2,4,3,1,4,2,2,5,4,3,4,3,2,1,39,3,"US"
1,4,1,1,1,3,1,2,4,5,5,4,4,5,3,4,3,2,59,4,"US"
2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,2,2,18,4,"US"
1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,2,24,4,"US"
1,1,1,3,1,2,1,1,4,5,5,4,5,5,5,5,3,1,25,4,"US"
1,1,1,1,1,1,1,1,5,5,4,4,4,4,3,1,2,2,21,4,"US"
1,1,1,1,1,2,2,1,5,3,3,3,4,4,3,2,3,2,43,4,"US"
1,1,1,2,1,1,1,1,3,3,4,4,3,3,3,2,1,2,16,4,"US"
3,1,1,1,1,1,1,1,2,2,1,1,2,3,2,3,1,2,13,4,"US"
1,3,1,1,1,2,1,2,5,4,1,3,2,3,1,2,2,2,17,4,"US"
2,3,3,3,2,3,2,3,5,4,4,4,4,4,5,3,2,1,24,5,"US"
3,2,1,4,1,4,1,1,5,5,5,5,5,5,5,4,4,1,56,4,"US"
3,3,1,1,1,1,1,1,1,5,1,5,5,1,1,1,2,2,18,3,"US"
5,4,5,1,4,4,2,3,3,4,1,2,2,2,2,4,2,1,45,4,"US"
1,1,1,1,1,2,1,2,3,1,3,3,1,2,2,3,3,2,33,5,"US"
2,1,1,1,1,1,1,1,3,5,5,4,5,5,5,3,3,2,20,4,"US"
5,4,2,5,4,4,5,4,4,4,4,2,2,3,4,4,2,1,25,4,"US"
5,2,2,3,1,5,3,1,5,4,4,5,5,5,5,3,3,2,24,1,"US"
3,1,1,1,1,1,1,1,5,5,5,1,1,5,1,1,2,2,21,3,"US"
5,5,4,5,5,5,5,4,2,4,2,4,3,5,3,5,3,1,37,4,"US"
3,1,1,1,1,1,1,1,5,5,5,5,4,5,4,4,3,2,19,4,"US"
1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,3,2,36,4,"HS"
4,1,1,3,1,1,4,1,3,1,1,1,1,1,1,1,3,2,36,4,"HS"
1,1,1,4,1,2,2,1,4,5,4,4,2,5,3,5,2,2,35,4,"US"
5,2,3,1,2,1,1,1,5,5,5,3,5,4,4,3,3,1,46,4,"US"
1,1,1,1,1,1,1,2,2,3,2,3,2,3,1,1,2,2,19,4,"US"
1,1,1,1,1,1,1,1,3,5,4,4,3,3,1,4,2,2,20,4,"US"
5,3,4,1,5,3,5,3,5,3,4,5,5,3,5,1,3,2,20,1,"US"
3,3,1,1,1,1,1,3,4,5,5,1,3,5,4,4,2,2,20,4,"US"
1,3,1,1,1,1,1,3,3,4,2,1,1,4,3,1,1,2,18,5,"US"
3,2,3,5,2,5,2,4,5,4,4,3,4,5,4,2,2,1,55,3,"US"
3,1,1,3,1,1,3,1,5,3,3,5,3,1,3,1,4,1,18,4,"US"
4,1,1,1,1,1,1,1,2,3,4,1,2,4,1,1,3,2,35,4,"US"
5,5,1,5,5,5,5,1,5,5,1,1,1,1,1,1,3,2,52,3,"US"
4,2,3,3,2,2,3,2,4,2,2,3,4,4,4,2,2,2,17,4,"US"
3,1,1,2,4,1,1,1,4,3,2,3,4,1,4,1,2,2,20,4,"US"
2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,2,17,1,"US"
1,3,2,1,2,2,1,2,4,4,4,2,3,5,3,5,1,2,16,4,"US"
4,4,3,4,2,3,2,4,4,3,3,3,2,4,2,5,2,1,22,4,"US"
3,3,3,3,3,4,4,3,3,4,4,3,3,4,4,3,3,2,28,5,"US"
2,5,1,1,1,2,1,2,5,5,1,4,4,4,4,4,4,2,51,4,"US"
3,5,1,3,2,5,4,5,4,4,3,5,3,4,4,3,3,2,38,4,"US"
3,1,2,1,1,1,1,1,4,3,3,4,4,3,3,4,3,2,49,4,"US"
1,2,1,1,1,1,1,1,3,3,3,3,3,4,2,1,2,2,19,4,"US"
3,3,1,3,1,1,1,1,5,5,3,5,5,5,5,5,2,2,29,5,"US"
4,3,1,5,3,4,4,4,5,4,5,5,5,4,5,5,4,3,34,4,"US"
4,1,1,2,1,1,2,1,3,3,3,3,3,3,3,4,3,2,45,4,"US"
2,1,1,1,1,1,1,1,5,5,5,3,4,5,4,4,3,2,34,4,"US"
3,1,1,2,1,1,4,1,5,5,4,5,5,4,5,4,1,2,16,4,"US"
3,3,3,2,4,3,3,2,4,2,1,5,1,2,2,1,2,1,28,5,"US"
3,2,4,3,1,1,3,1,2,4,3,3,2,3,2,2,1,1,16,4,"US"
2,2,1,3,1,1,1,1,5,4,5,4,4,4,2,4,3,2,38,4,"US"
1,3,1,3,1,4,1,2,3,3,3,3,1,3,1,2,2,2,19,4,"US"
1,2,1,1,1,1,1,1,4,3,3,1,1,3,1,1,3,2,36,5,"US"
1,1,1,1,1,1,1,1,5,4,4,5,4,3,4,1,3,1,22,4,"US"
1,1,1,1,1,1,1,1,3,3,2,1,1,2,1,1,3,2,36,5,"US"
5,1,5,5,3,5,3,5,4,3,3,3,2,3,1,3,2,1,38,5,"US"
2,1,1,3,2,2,3,2,5,3,3,4,3,3,3,2,3,2,22,4,"US"
4,4,3,5,3,4,3,3,4,4,4,4,4,4,3,3,4,1,25,1,"US"
2,5,1,4,4,4,4,4,4,4,4,4,5,2,5,4,2,1,32,5,"US"
2,4,2,3,2,3,2,3,4,4,4,4,4,4,4,4,3,1,25,4,"US"
5,1,1,4,1,2,2,2,3,5,5,1,5,5,4,4,1,1,17,4,"US"
3,4,2,1,2,3,3,3,5,3,1,1,4,2,2,1,2,1,23,4,"US"
3,1,2,4,3,3,3,2,1,1,1,1,2,2,1,1,2,1,21,4,"US"
2,2,1,3,2,2,3,4,1,2,2,2,2,2,2,1,1,2,15,4,"US"
3,2,1,3,3,2,1,2,2,1,1,2,2,1,1,1,1,1,15,5,"US"
3,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,1,2,15,5,"US"
2,2,2,2,1,1,3,1,3,3,4,3,4,3,4,1,1,1,15,4,"US"
2,4,1,4,2,2,3,3,4,5,5,4,5,4,5,5,1,1,14,4,"US"
1,1,1,1,1,4,1,1,3,4,4,3,4,4,1,2,2,2,18,4,"US"
1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,2,15,4,"US"
3,2,1,2,1,2,2,1,5,2,1,4,4,2,2,1,2,1,18,4,"US"
5,1,1,2,1,1,2,1,4,3,2,5,4,3,5,1,2,2,18,1,"US"
3,2,2,3,3,2,2,2,5,4,4,3,4,4,4,4,3,2,28,4,"US"
4,4,3,5,5,5,4,3,5,5,4,5,4,4,3,3,2,1,26,2,"US"
1,1,1,3,1,1,1,1,1,4,3,4,1,2,1,1,2,2,20,4,"US"
2,1,1,1,1,3,1,1,3,3,2,4,4,3,3,1,4,2,38,4,"US"
4,3,1,2,1,1,2,3,1,4,3,1,2,4,2,3,2,2,23,4,"US"
3,1,1,4,2,4,2,2,5,5,4,5,4,4,4,3,3,1,23,4,"US"
3,1,1,1,1,5,2,4,4,3,5,4,3,3,3,1,2,1,53,3,"US"
3,1,1,1,1,2,1,1,4,4,4,4,4,4,1,4,4,1,55,4,"US"
3,1,1,1,1,3,1,2,5,5,5,1,4,5,5,3,4,2,37,4,"US"
1,1,1,1,1,2,1,1,3,5,4,2,1,5,1,5,4,2,21,4,"US"
2,2,1,1,1,1,1,2,3,3,3,3,1,4,3,2,1,2,15,4,"US"
4,2,3,4,1,2,1,2,4,5,3,4,4,5,5,4,2,2,26,4,"US"
3,2,1,1,1,2,1,1,4,3,1,1,3,1,1,1,3,2,40,4,"US"
1,1,1,1,1,1,4,1,5,3,2,1,1,1,1,1,4,2,28,3,"US"
2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,4,2,36,4,"US"
2,4,3,2,1,2,1,4,5,5,5,5,5,5,5,5,3,1,23,4,"US"
1,2,1,1,1,2,1,1,4,4,4,4,3,5,3,4,3,2,51,4,"US"
1,1,1,1,1,1,1,1,5,2,4,5,4,4,5,3,2,2,19,4,"US"
3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,16,5,"US"
4,1,4,2,1,2,3,2,4,4,4,3,3,3,3,3,2,1,20,3,"US"
3,1,1,3,1,1,1,1,3,5,5,2,4,4,3,1,1,2,15,4,"US"
3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,54,4,"US"
1,4,1,4,2,4,4,4,2,4,2,4,3,3,2,3,4,2,65,4,"US"
